"","sample","Annotation_of_cell_types","Annotation_of_cell_types_sample","condition","genotype"
"Pre-DC2s, DC2s, proDC3s, DC3s_KO","KO","Pre-DC2s, DC2s, proDC3s, DC3s","Pre-DC2s, DC2s, proDC3s, DC3s_KO","untreated","KO"
"Pre-DC2s, DC2s, proDC3s, DC3s_KO-MNU-1","KO-MNU-1","Pre-DC2s, DC2s, proDC3s, DC3s","Pre-DC2s, DC2s, proDC3s, DC3s_KO-MNU-1","treated","KO"
"Pre-DC2s, DC2s, proDC3s, DC3s_KO-MNU-2","KO-MNU-2","Pre-DC2s, DC2s, proDC3s, DC3s","Pre-DC2s, DC2s, proDC3s, DC3s_KO-MNU-2","treated","KO"
"Pre-DC2s, DC2s, proDC3s, DC3s_WT","WT","Pre-DC2s, DC2s, proDC3s, DC3s","Pre-DC2s, DC2s, proDC3s, DC3s_WT","untreated","WT"
"Pre-DC2s, DC2s, proDC3s, DC3s_WT-MNU-1","WT-MNU-1","Pre-DC2s, DC2s, proDC3s, DC3s","Pre-DC2s, DC2s, proDC3s, DC3s_WT-MNU-1","treated","WT"
"Pre-DC2s, DC2s, proDC3s, DC3s_WT-MNU-2","WT-MNU-2","Pre-DC2s, DC2s, proDC3s, DC3s","Pre-DC2s, DC2s, proDC3s, DC3s_WT-MNU-2","treated","WT"
"Treg (Regulatory T) cell_KO","KO","Treg (Regulatory T) cell","Treg (Regulatory T) cell_KO","untreated","KO"
"Treg (Regulatory T) cell_KO-MNU-1","KO-MNU-1","Treg (Regulatory T) cell","Treg (Regulatory T) cell_KO-MNU-1","treated","KO"
"Treg (Regulatory T) cell_KO-MNU-2","KO-MNU-2","Treg (Regulatory T) cell","Treg (Regulatory T) cell_KO-MNU-2","treated","KO"
"Treg (Regulatory T) cell_WT","WT","Treg (Regulatory T) cell","Treg (Regulatory T) cell_WT","untreated","WT"
"Treg (Regulatory T) cell_WT-MNU-1","WT-MNU-1","Treg (Regulatory T) cell","Treg (Regulatory T) cell_WT-MNU-1","treated","WT"
"Treg (Regulatory T) cell_WT-MNU-2","WT-MNU-2","Treg (Regulatory T) cell","Treg (Regulatory T) cell_WT-MNU-2","treated","WT"
